filename, Lines Of Code, Single Line Comments, Multi Line Comments, Number Of Methods, Number Of Public Methods, Number Of Class Attributes, Number Of Public Attributes, Class Size, Class Interface Size, Cyclomatic Complexity, Weighted Method Count
controllers/ctrl_pages.php, 47, 0, 7, 8, 6, 1, 1, 7, 7, 6, 46
controllers/ctrl_users.php, 160, 1, 22, 11, 8, 1, 1, 9, 9, 44, 159
controllers/ctrl_sessions.php, 20, 1, 1, 3, 3, 1, 1, 4, 4, 2, 19
controllers/ctrl_main.php, 129, 10, 10, 8, 7, 1, 1, 8, 8, 22, 128
controllers/ctrl_roles.php, 68, 3, 9, 8, 6, 1, 1, 7, 7, 11, 67
controllers/ctrl_logins.php, 18, 2, 1, 3, 3, 1, 1, 4, 4, 1, 17
views/logins.php, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
views/error.php, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
views/newrole.php, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
views/configuration.php, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0
views/changer.php, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
views/intro.php, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
views/role.php, 23, 1, 2, 0, 0, 0, 0, 0, 0, 7, 0
views/login.php, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
views/reminder.php, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
views/newuser.php, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
views/user.php, 32, 1, 3, 0, 0, 0, 0, 0, 0, 9, 0
views/menu.php, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
views/sessions.php, 15, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0
core/Application.class.php, 19, 2, 3, 10, 7, 0, 0, 7, 7, 7, 17
core/Router.class.php, 62, 2, 26, 6, 4, 4, 4, 8, 8, 21, 54
core/Login.model.php, 9, 2, 0, 3, 2, 2, 2, 4, 4, 0, 5
core/AutoLoader.php, 8, 0, 2, 1, 1, 0, 0, 1, 1, 2, 4
core/Session.model.php, 75, 1, 11, 15, 12, 3, 3, 15, 15, 14, 69
core/Template.class.php, 20, 3, 5, 4, 3, 0, 0, 3, 3, 4, 15
core/Controller.php, 7, 0, 1, 3, 2, 3, 3, 5, 5, 0, 2
core/User.model.php, 200, 3, 24, 26, 19, 2, 2, 21, 21, 16, 196
core/ErrorHandling.php, 34, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0
core/Configuration.php, 78, 9, 1, 0, 0, 0, 0, 0, 0, 1, 0
core/Model.php, 2, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0
core/Role.model.php, 18, 2, 1, 5, 4, 2, 2, 6, 6, 0, 14
db2/dbMysql.php, 17, 2, 3, 4, 1, 1, 1, 2, 2, 1, 16
db2/Crud.php, 89, 2, 3, 13, 8, 2, 2, 10, 10, 28, 86
db2/db.class.php, 108, 3, 4, 19, 14, 2, 2, 16, 16, 33, 102
db2/Model.php, 94, 4, 3, 13, 9, 4, 4, 13, 13, 28, 87
